TURNO,LAT,LONG,DIST,CAPACIDAD
M,-11.888665,-77.073565,14.70018,10
M,-11.889083,-77.073658,14.74791,10
M,-11.889051,-77.074939,14.88761,10
M,-11.889433,-77.074958,14.93021,10
M,-11.88956,-77.074828,14.95028,10
M,-11.889513,-77.073673,15.07619,10
M,-11.889902,-77.073707,15.11968,10
M,-11.88996,-77.074746,15.23308,10
M,-11.889924,-77.075465,15.31155,10
M,-11.890027,-77.075467,15.32308,10
M,-11.890071,-77.075038,15.36998,10
M,-11.890064,-77.074703,15.40641,10
M,-11.890091,-77.073746,15.51069,10
M,-11.890098,-77.073262,15.56335,10
M,-11.890095,-77.072813,15.61222,10
M,-11.890076,-77.071898,15.71185,10
M,-11.890128,-77.071409,15.76539,10
M,-11.890202,-77.070823,15.82967,10
M,-11.890633,-77.069404,15.9915,10
M,-11.890526,-77.068959,16.04135,10
M,-11.89029,-77.068493,16.09839,10
